480,8190,1106
537,8190,1094
579,8191,1076
619,8191,1081
658,8191,1086
698,8191,1040
738,8191,1264
779,111,1014
817,89,118
850,97,128
890,107,136
930,110,154
970,132,1117
1015,204,1110
1055,8191,1098
1095,8191,1119
1135,8190,1081
1174,8191,1059
1214,8190,1091
1240,8191,1916
1278,8191,1141
1313,8191,1123
1353,8191,1895
1397,8191,1070
1432,8191,1982
1477,8191,2017
1517,8190,65535
1574,8190,65535
1615,8190,65535
1655,8191,65535
1695,8191,65535
1745,8190,65535
1785,8190,65535
1829,8191,65535
1879,8191,65535
1920,8191,65535
1959,8191,65535
2000,8190,65535
2050,8191,65535
2089,8191,65535
2130,8191,65535
2170,8191,65535
2220,8191,65535
2260,8190,65535
2300,8191,65535
2341,8191,518
2364,562,517
2402,530,476
2441,527,1133
2485,518,1132
2525,517,1142
2565,503,1147
2604,504,523
2640,512,475
2679,519,1260
2723,521,1342
2764,516,1312
2803,524,1394
2844,519,1337
2883,518,65535
2944,438,65535
2984,370,65535
3024,350,65535
3064,340,65535
3113,343,65535
3158,332,65535
3197,338,2109
3230,338,65535
3279,331,65535
3319,282,65535
3359,178,65535
3400,144,86
3420,155,82
3440,117,84
3471,105,92
3511,139,90
3551,151,95
3591,142,92
3630,149,98
3670,136,93
3709,143,92
3749,145,99
3789,125,95
3829,135,96
3868,129,96
3908,136,99
3947,136,95
3987,141,95
4027,143,95
4067,154,90
4107,154,89
4147,165,91
4186,153,95
4226,155,91
4265,157,90
4305,161,89
4344,159,85
4393,164,92
4424,151,89
4464,144,95
4503,149,94
4543,162,98
4583,146,106
4626,168,106
4662,268,117
4702,149,122
4742,138,175
4782,172,144
4822,180,145
4861,148,145
4900,141,156
4940,162,181
4980,164,158
5020,153,153
5060,144,187
5100,144,150
5139,139,150
5179,145,155
5219,147,155
5258,151,145
5298,151,146
5338,145,151
5378,145,149
5416,150,145
5456,155,149
5496,146,150
5536,144,150
5575,139,150
5615,139,159
5655,145,157
5695,163,153
5735,167,154
5775,168,159
5815,166,155
5854,165,154
5894,155,149
5934,148,295
5975,134,147
6012,142,369
6054,132,386
6097,134,368
6133,140,307
6173,141,298
6212,141,292
6252,146,158
6291,151,171
6331,150,316
6372,147,319
6412,148,324
6451,148,324
6491,145,316
6530,146,149
6568,145,144
6608,138,144
6648,136,143
6688,132,138
6728,149,146
6767,157,143
6807,165,138
6847,156,138
6887,177,137
6926,191,146
6966,185,146
7006,187,147
7046,183,150
7086,190,142
7126,213,138
7164,208,143
7204,199,147
7244,169,134
7284,144,152
7323,131,132
7363,121,157
7403,125,133
7443,145,129
7482,139,137
7522,132,145
7566,132,145
7602,139,141
7642,135,141
7681,147,142
7720,132,141
7760,130,141
7800,130,136
7839,133,136
7880,131,137
7919,133,137
7959,131,137
7999,128,136
8039,133,136
8078,143,141
8118,129,142
8158,142,136
8198,140,194
8238,140,186
8278,136,177
8316,130,156
8356,125,131
8396,122,126
8435,117,127
8475,132,135
8515,135,134
8555,150,125
8594,161,128
8634,175,132
8674,180,126
8713,187,133
8754,191,128
8793,198,130
8833,191,124
8872,178,122
8912,182,126
8952,196,129
8995,193,129
9031,192,129
9071,205,129
9111,210,129
9151,196,134
9190,171,126
9230,158,134
9270,145,131
9310,147,127
9349,137,131
9389,136,138
9428,136,129
9468,142,129
9507,137,146
9548,139,149
9587,134,127
9627,131,127
9667,137,152
9707,132,126
9746,141,144
9786,151,134
9826,170,130
9866,174,142
9905,200,134
9945,202,131
9985,203,139
10033,194,131
10064,176,131
10103,156,146
10143,140,129
10183,132,146
10223,143,130
10262,138,136
10302,133,129
10342,130,171
10382,125,131
10425,132,126
10461,141,135
10501,151,144
10541,169,131
10580,186,130
10619,200,143
10659,202,131
10699,182,135
10739,164,136
10779,152,127
10819,140,153
10858,131,129
10898,135,289
10939,137,127
10978,135,135
11017,125,138
11057,132,131
11097,145,143
11137,150,137
11175,168,129
11215,186,137
11255,210,133
11295,207,129
11334,183,278
11375,164,139
11414,153,126
11454,141,125
11493,138,129
11533,137,142
11573,131,145
11613,123,125
11653,131,125
11693,141,163
11732,134,129
11776,122,129
11811,127,284
11852,130,123
11891,142,123
11930,146,127
11970,152,132
12010,161,126
12050,181,122
12090,183,122
12129,193,126
12169,209,131
