468,226,201
538,215,195
563,247,219
603,223,228
643,216,198
681,232,204
721,243,231
761,217,205
801,231,202
840,201,206
880,239,206
919,209,210
960,238,203
999,232,208
1039,207,218
1078,234,208
1119,256,209
1158,228,204
1198,219,207
1238,237,204
1277,237,205
1316,8191,210
1356,8191,1209
1401,8191,488
1437,470,505
1477,414,1753
1524,385,65535
1583,389,65535
1623,423,65535
1664,414,65535
1703,472,1773
1734,8191,1675
1764,8191,1668
1802,8191,1752
1842,8191,1933
1883,420,1683
1925,443,1700
1960,8191,65535
2020,8191,65535
2060,8191,65535
2100,8191,65535
2140,376,65535
2190,8190,65535
2230,8191,65535
2270,8191,65535
2311,8191,65535
2369,8191,65535
2409,8191,65535
2449,8191,1676
2479,8191,1685
2515,8191,1686
2555,8191,1676
2594,8191,1711
2635,8191,1697
2674,8191,1681
2714,8191,1689
2754,8191,1697
2793,8191,1676
2833,8191,1710
2873,8191,1689
2913,8191,1671
2952,8191,1715
2992,8191,1698
3032,8191,1686
3072,8191,1674
3111,8191,65535
3170,8191,65535
3210,8191,65535
3254,8190,1701
3283,8191,1702
3313,8191,1671
3343,8191,1677
3373,8191,1671
3408,8191,1675
3448,8191,1667
3488,8191,1684
